"AAU,gene:lpg4092",lpg4092
"AAU26381,gene:lpg0274",lpg0274
"AAU26382,gene:lpg0275",lpg0275
"AAU26383,gene:lpg0276",lpg0276
"AAU26384,gene:lpg0277",lpg0277
"AAU26385,gene:lpg0278",lpg0278
"AAU26386,gene:lpg0279",lpg0279
"AAU26387,gene:lpg0280",lpg0280
"AAU26388,gene:lpg0281",lpg0281
"AAU26389,gene:lpg0282",lpg0282
"AAU26390,gene:lpg0283",lpg0283
"AAU26391,gene:lpg0284",lpg0284
"AAU26392,gene:lpg0285",lpg0285
"AAU26393,gene:lpg0286",lpg0286
"AAU26394,gene:lpg0287",lpg0287
"AAU26395,gene:lpg0288",lpg0288
"AAU26396,gene:lpg0289",lpg0289
"AAU26397,gene:lpg0290",lpg0290
"AAU26398,gene:lpg0291",lpg0291
"AAU26399,gene:lpg0292",lpg0292
"AAU26400,gene:lpg0293",lpg0293
"AAU26401,gene:lpg0294",lpg0294
"AAU26402,gene:lpg0295",lpg0295
"AAU26403,gene:lpg0296",lpg0296
"AAU26404,gene:lpg0297",lpg0297
"AAU26405,gene:lpg0298",lpg0298
"AAU26406,gene:lpg0299",lpg0299
"AAU26407,gene:lpg0300",lpg0300
"AAU26408,gene:lpg0301",lpg0301
"AAU26409,gene:lpg0305",lpg0305
"AAU26410,gene:lpg0306",lpg0306
"AAU26411,gene:lpg0307",lpg0307
"AAU26412,gene:lpg0314",lpg0314
"AAU26413,gene:lpg0316",lpg0316
"AAU26414,gene:lpg0317",lpg0317
"AAU26415,gene:lpg0318",lpg0318
"AAU26416,gene:lpg0319",lpg0319
"AAU26417,gene:lpg0320",lpg0320
"AAU26418,gene:lpg0321",lpg0321
"AAU26419,gene:lpg0322",lpg0322
"AAU26420,gene:lpg0323",lpg0323
"AAU26421,gene:lpg0324",lpg0324
"AAU26422,gene:lpg0325",lpg0325
"AAU26423,gene:lpg0326",lpg0326
"AAU26424,gene:lpg0327",lpg0327
"AAU26425,gene:lpg0328",lpg0328
"AAU26426,gene:lpg0329",lpg0329
"AAU26427,gene:lpg0330",lpg0330
"AAU26428,gene:lpg0331",lpg0331
"AAU26429,gene:lpg0332",lpg0332
"AAU26430,gene:lpg0333",lpg0333
"AAU26431,gene:lpg0334",lpg0334
"AAU26432,gene:lpg0335",lpg0335
"AAU26433,gene:lpg0336",lpg0336
"AAU26434,gene:lpg0337",lpg0337
"AAU26435,gene:lpg0338",lpg0338
"AAU26436,gene:lpg0339",lpg0339
"AAU26437,gene:lpg0340",lpg0340
"AAU26438,gene:lpg0341",lpg0341
"AAU26439,gene:lpg0342",lpg0342
"AAU26440,gene:lpg0343",lpg0343
"AAU26441,gene:lpg0344",lpg0344
"AAU26442,gene:lpg0345",lpg0345
"AAU26443,gene:lpg0346",lpg0346
"AAU26444,gene:lpg0347",lpg0347
"AAU26445,gene:lpg0348",lpg0348
"AAU26446,gene:lpg0349",lpg0349
"AAU26447,gene:lpg0350",lpg0350
"AAU26448,gene:lpg0351",lpg0351
"AAU26449,gene:lpg0352",lpg0352
"AAU26450,gene:lpg0353",lpg0353
"AAU26451,gene:lpg0354",lpg0354
"AAU26452,gene:lpg0355",lpg0355
"AAU26453,gene:lpg0356",lpg0356
"AAU26454,gene:lpg0357",lpg0357
"AAU26455,gene:lpg0358",lpg0358
"AAU26456,gene:lpg0359",lpg0359
"AAU26457,gene:lpg0360",lpg0360
"AAU26458,gene:lpg0361",lpg0361
"AAU26459,gene:lpg0362",lpg0362
"AAU26460,gene:lpg0363",lpg0363
"AAU26461,gene:lpg0364",lpg0364
"AAU26462,gene:lpg0365",lpg0365
"AAU26463,gene:lpg0366",lpg0366
"AAU26464,gene:lpg0367",lpg0367
"AAU26465,gene:lpg0368",lpg0368
"AAU26466,gene:lpg0369",lpg0369
"AAU26467,gene:lpg0370",lpg0370
"AAU26468,gene:lpg0371",lpg0371
"AAU26469,gene:lpg0372",lpg0372
"AAU26470,gene:lpg0373",lpg0373
"AAU26471,gene:lpg0374",lpg0374
"AAU26472,gene:lpg0375",lpg0375
"AAU26473,gene:lpg0376",lpg0376
"AAU26474,gene:lpg0377",lpg0377
"AAU26475,gene:lpg0378",lpg0378
"AAU26476,gene:lpg0379",lpg0379
"AAU26477,gene:lpg0380",lpg0380
"AAU26478,gene:lpg0381",lpg0381
"AAU26479,gene:lpg0382",lpg0382
"AAU26480,gene:lpg0383",lpg0383
"AAU26481,gene:lpg0384",lpg0384
"AAU26482,gene:lpg0385",lpg0385
"AAU26483,gene:lpg0386",lpg0386
"AAU26484,gene:lpg0387",lpg0387
"AAU26485,gene:lpg0388",lpg0388
"AAU26486,gene:lpg0389",lpg0389
"AAU26487,gene:lpg0390",lpg0390
"AAU26488,gene:lpg0391",lpg0391
"AAU26489,gene:lpg0392",lpg0392
"AAU26490,gene:lpg0393",lpg0393
"AAU26491,gene:lpg0394",lpg0394
"AAU26492,gene:lpg0395",lpg0395
"AAU26493,gene:lpg0396",lpg0396
"AAU26494,gene:lpg0397",lpg0397
"AAU26495,gene:lpg0398",lpg0398
"AAU26496,gene:lpg0399",lpg0399
"AAU26497,gene:lpg0400",lpg0400
"AAU26498,gene:lpg0401",lpg0401
"AAU26499,gene:lpg0402",lpg0402
"AAU26500,gene:lpg0403",lpg0403
"AAU26501,gene:lpg0404",lpg0404
"AAU26502,gene:lpg0405",lpg0405
